"","date","year","month","month_adj","int_chl"
"90",2016-02-27,2016,2,2,14.234368464
"91",2016-03-19,2016,3,3,22.093894935
"92",2016-04-08,2016,4,4,111.5755641
"93",2016-04-28,2016,4,4,43.9042842
"94",2016-05-19,2016,5,5,68.2808292
"95",2016-06-09,2016,6,6,133.557023491875
"96",2016-06-30,2016,6,6,190.023282504
"97",2016-07-22,2016,7,7,60.0661398825
"98",2016-08-12,2016,8,8,18.33716121
"99",2016-08-15,2016,8,8,91.2351492135
"100",2016-09-01,2016,9,9,25.751886208
"101",2016-09-23,2016,9,9,10.180573479
"102",2016-10-23,2016,10,10,11.0567771415
"103",2016-11-23,2016,11,11,6.058927575
"104",2017-01-20,2017,1,1,5.195557813
"105",2017-02-25,2017,2,2,16.1240820325
"106",2017-03-22,2017,3,3,27.510122048
"107",2017-04-08,2017,4,4,43.168095248
"108",2017-04-28,2017,4,5,40.020695968
"109",2017-06-08,2017,6,6,52.311620272
"110",2017-07-19,2017,7,7,94.033064752
"111",2017-08-14,2017,8,8,70.597119856
"112",2017-08-15,2017,8,8,67.04048475
"113",2017-08-31,2017,8,9,24.12678765275
"114",2017-09-21,2017,9,9,21.84237456
"115",2017-10-12,2017,10,10,19.116910336
"116",2017-12-07,2017,12,12,4.18811107
"117",2018-01-11,2018,1,1,4.862689
"118",2018-02-19,2018,2,2,6.04862375
"119",2018-03-27,2018,3,3,15.547273755
"120",2018-04-28,2018,4,4,60.58561765
"121",2018-05-23,2018,5,5,83.25944945
"122",2018-06-27,2018,6,6,111.8110539
"123",2018-07-15,2018,7,7,123.37372795825
"124",2018-08-19,2018,8,8,59.069774274
"125",2018-09-11,2018,9,9,13.2619586605
"126",2018-10-23,2018,10,10,21.8189118
"127",2018-11-21,2018,11,11,6.104765434
"128",2019-01-21,2019,1,1,5.3414209
"129",2019-02-14,2019,2,2,7.41971400000001
"130",2019-02-15,2019,2,2,11.0645877
"131",2019-03-13,2019,3,3,17.2026922
"132",2019-04-18,2019,4,4,12.4141419
"133",2019-05-11,2019,5,5,47.75262324
"134",2019-06-10,2019,6,6,38.9597362
"135",2019-08-03,2019,8,8,16.685085509
"136",2019-09-01,2019,9,9,20.138273549
"137",2019-10-01,2019,10,10,10.499932939
"138",2019-11-26,2019,11,11,2.06026251
"139",2020-01-14,2020,1,1,1.14648117
"140",2020-02-11,2020,2,2,1.97344806
"141",2020-04-30,2020,4,4,23.4537
"142",2020-06-04,2020,6,6,28.42394217
"143",2020-07-02,2020,7,7,38.7141365
"144",2020-08-07,2020,8,8,20.3527025
"145",2020-09-03,2020,9,9,18.3258795525
"146",2020-09-07,2020,9,9,15.346084
"147",2020-10-01,2020,10,10,12.4710042275
"148",2020-11-04,2020,11,11,4.268637295
"149",2020-11-27,2020,11,11,2.3804235
"150",2021-01-11,2021,1,1,2.715999
"151",2021-02-10,2021,2,2,7.82753653499999
"152",2021-03-12,2021,3,3,4.5506955
"153",2021-03-14,2021,3,3,7.79778636
"154",2021-04-10,2021,4,4,31.879128
"155",2021-05-06,2021,5,5,2.164698
"156",2021-06-05,2021,6,6,22.23251673
"157",2021-07-04,2021,7,7,106.55062665
"158",2021-08-05,2021,8,8,51.3248001955
"159",2021-09-05,2021,9,9,45.777186
"160",2021-10-08,2021,10,10,4.9863876725
"161",2021-11-05,2021,11,11,2.016083055
"162",2022-01-14,2022,1,1,1.55646825
"163",2022-02-05,2022,2,2,2.33191398
"164",2022-04-10,2022,4,4,6.964627215
"165",2022-05-05,2022,5,5,21.6453221725
"166",2022-06-03,2022,6,6,63.435102055
"167",2022-07-03,2022,7,7,91.4511276575
"168",2022-07-28,2022,7,8,140.00200669
"169",2022-10-13,2022,10,10,9.44518939
"170",2022-11-26,2022,11,11,3.328466505
"171",2023-01-12,2023,1,1,5.04921521000001
"172",2023-02-11,2023,2,2,5.67672855750001
"173",2023-03-18,2023,3,3,10.497727175
"174",2023-04-14,2023,4,4,15.568131475
"175",2023-05-14,2023,5,5,252.130675017
"176",2023-06-15,2023,6,6,70.049018208
"177",2023-07-18,2023,7,7,129.96847578
"178",2023-08-16,2023,8,8,27.046139601
"179",2023-09-12,2023,9,9,36.379729503
"180",2023-10-15,2023,10,10,22.025391024
"181",2023-11-25,2023,11,11,9.271334202
"182",2024-01-12,2024,1,1,3.4059928825
"183",2024-02-10,2024,2,2,7.72774570750001
"184",2024-03-07,2024,3,3,12.611119794
"185",2024-04-12,2024,4,4,37.803720981
"186",2024-05-12,2024,5,5,21.146950045
"187",2024-07-18,2024,7,7,115.251274866
"188",2024-09-21,2024,9,9,15.653501305
"189",2024-11-17,2024,11,11,5.187012012
