date,year,chl_avg
3/21/2024,2024,0.608472222
3/22/2024,2024,1.231354167
3/23/2024,2024,1.243819444
3/24/2024,2024,0.803819444
3/25/2024,2024,10.86041667
3/26/2024,2024,16.6375
3/27/2024,2024,13.9328125
3/28/2024,2024,9.250381944
3/29/2024,2024,10.08368056
3/30/2024,2024,7.840104167
3/31/2024,2024,3.943472222
4/1/2024,2024,3.188993056
4/2/2024,2024,4.140694444
4/3/2024,2024,7.660034722
4/4/2024,2024,6.103958333
4/5/2024,2024,7.039270833
4/6/2024,2024,7.666145833
4/7/2024,2024,5.726111111
4/8/2024,2024,4.611597222
4/9/2024,2024,5.456284722
4/10/2024,2024,4.278784722
4/11/2024,2024,3.254340278
4/12/2024,2024,4.5353125
4/13/2024,2024,6.252569444
4/14/2024,2024,5.442881944
4/15/2024,2024,3.456388889
4/16/2024,2024,2.123854167
4/17/2024,2024,2.386493056
4/18/2024,2024,4.878680556
4/19/2024,2024,6.025104167
4/20/2024,2024,6.698923611
4/21/2024,2024,6.337847222
4/22/2024,2024,5.868611111
4/23/2024,2024,7.681527778
4/24/2024,2024,6.180451389
4/25/2024,2024,4.800659722
4/26/2024,2024,5.764965278
4/27/2024,2024,6.7078125
4/28/2024,2024,6.760729167
4/29/2024,2024,6.542152778
4/30/2024,2024,3.039583333
5/1/2024,2024,3.287152778
5/2/2024,2024,2.1790625
5/3/2024,2024,4.243611111
5/4/2024,2024,2.080625
5/5/2024,2024,2.867048611
5/6/2024,2024,2.884201389
5/7/2024,2024,2.063194444
5/8/2024,2024,2.6690625
5/9/2024,2024,3.541805556
5/10/2024,2024,2.987569444
5/11/2024,2024,3.893020833
5/12/2024,2024,5.645416667
5/13/2024,2024,3.778020833
5/14/2024,2024,5.048020833
5/15/2024,2024,4.493680556
5/16/2024,2024,3.468125
5/17/2024,2024,3.854618056
5/18/2024,2024,3.790381944
5/19/2024,2024,5.702222222
5/20/2024,2024,4.783298611
5/21/2024,2024,5.147152778
5/22/2024,2024,5.404513889
5/23/2024,2024,7.8321875
5/24/2024,2024,6.808194444
5/25/2024,2024,8.189444444
5/26/2024,2024,9.169270833
5/27/2024,2024,10.36006944
5/28/2024,2024,11.05510417
5/29/2024,2024,12.551875
5/30/2024,2024,15.11819444
5/31/2024,2024,13.65583333
6/1/2024,2024,8.401631944
6/2/2024,2024,6.350138889
6/3/2024,2024,4.054409722
6/4/2024,2024,4.723819444
6/5/2024,2024,5.830104167
6/6/2024,2024,6.526770833
6/7/2024,2024,3.174201389
6/8/2024,2024,3.251666667
6/9/2024,2024,3.669756944
6/10/2024,2024,5.990590278
6/11/2024,2024,5.043402778
6/12/2024,2024,3.926111111
6/13/2024,2024,2.398645833
6/14/2024,2024,3.788402778
6/15/2024,2024,2.581944444
6/16/2024,2024,1.522743056
6/17/2024,2024,2.242743056
6/18/2024,2024,1.967361111
6/19/2024,2024,1.893229167
6/20/2024,2024,1.650902778
6/21/2024,2024,3.471701389
6/22/2024,2024,5.702291667
6/23/2024,2024,9.030451389
6/24/2024,2024,8.147847222
6/25/2024,2024,5.888819444
6/26/2024,2024,3.70375
6/27/2024,2024,2.7553125
6/28/2024,2024,2.153541667
6/29/2024,2024,2.764930556
6/30/2024,2024,2.823611111
7/1/2024,2024,1.357083333
7/2/2024,2024,2.142916667
7/3/2024,2024,2.186388889
7/4/2024,2024,1.632708333
7/5/2024,2024,1.863784722
7/6/2024,2024,2.704375
7/7/2024,2024,2.985486111
7/8/2024,2024,2.921493056
7/9/2024,2024,2.158645833
7/10/2024,2024,2.649583333
7/11/2024,2024,3.045277778
7/12/2024,2024,2.665520833
7/13/2024,2024,3.305416667
7/14/2024,2024,3.795520833
7/15/2024,2024,4.317569444
7/16/2024,2024,3.802604167
7/17/2024,2024,3.498506944
7/18/2024,2024,2.089340278
7/19/2024,2024,3.391701389
7/20/2024,2024,2.339305556
7/21/2024,2024,2.577361111
7/22/2024,2024,3.219097222
7/23/2024,2024,5.671909722
7/24/2024,2024,8.575902778
7/25/2024,2024,5.391388889
7/26/2024,2024,3.5696875
7/27/2024,2024,3.428506944
7/28/2024,2024,5.296354167
7/29/2024,2024,7.571006944
7/30/2024,2024,4.776840278
7/31/2024,2024,4.621145833
8/1/2024,2024,3.039444444
8/2/2024,2024,2.853402778
8/3/2024,2024,2.345972222
8/4/2024,2024,3.500729167
8/5/2024,2024,3.394131944
8/6/2024,2024,2.9615625
8/7/2024,2024,3.629722222
8/8/2024,2024,3.9553125
8/9/2024,2024,5.904861111
8/10/2024,2024,3.297222222
8/11/2024,2024,5.1396875
8/12/2024,2024,7.659131944
8/13/2024,2024,4.08
8/14/2024,2024,2.517291667
8/15/2024,2024,2.524097222
8/16/2024,2024,1.036319444
8/17/2024,2024,1.2334375
8/18/2024,2024,1.449409722
8/19/2024,2024,2.289375
8/20/2024,2024,1.986979167
8/21/2024,2024,2.242534722
8/22/2024,2024,2.262152778
8/23/2024,2024,3.1396875
8/24/2024,2024,2.935868056
8/25/2024,2024,4.403576389
8/26/2024,2024,4.276979167
8/27/2024,2024,4.328888889
8/28/2024,2024,2.308125
8/29/2024,2024,4.302048611
8/30/2024,2024,2.790694444
8/31/2024,2024,3.415138889
9/1/2024,2024,3.747743056
9/2/2024,2024,3.6240625
9/3/2024,2024,4.424965278
9/4/2024,2024,3.587465278
9/5/2024,2024,7.165763889
9/6/2024,2024,7.388854167
9/7/2024,2024,7.183576389
9/8/2024,2024,8.612916667
9/9/2024,2024,6.360451389
9/10/2024,2024,6.244097222
9/11/2024,2024,6.03625
9/12/2024,2024,5.809930556
9/13/2024,2024,5.4246875
9/14/2024,2024,4.342638889
9/15/2024,2024,5.110138889
9/16/2024,2024,6.440208333
9/17/2024,2024,6.553888889
9/18/2024,2024,5.95625
9/19/2024,2024,7.181701389
9/20/2024,2024,6.428333333
9/21/2024,2024,2.309548611
9/22/2024,2024,2.628368056
9/23/2024,2024,1.257777778
9/24/2024,2024,1.036006944
9/25/2024,2024,1.16875
9/26/2024,2024,0.875069444
9/27/2024,2024,0.790173611
9/28/2024,2024,1.422777778
9/29/2024,2024,1.161076389
9/30/2024,2024,1.025520833
