date,year,month,waterYear,WindSpd_QL,WindSpd_QC,WindSpd_UQL,WindSpd,WindSpd_Med,WindSpd_Avg,WindSpd_Min,WindSpd_Max
12/14/2012,2012,Dec,2012-2013,1,,2,12.07,4.396,6.181291667,0,22.89
12/15/2012,2012,Dec,2012-2013,1,,2,3.7,8.96,9.204541667,0,26.44
12/16/2012,2012,Dec,2012-2013,1,,2,3.161,4.5825,5.137375,0.51,14.94
12/17/2012,2012,Dec,2012-2013,1,,2,4.126,3.8825,3.96025,0,14.6
12/18/2012,2012,Dec,2012-2013,1,,2,13.09,8.56,8.758375,1.548,23.34
12/19/2012,2012,Dec,2012-2013,1,,2,5.489,8.21,9.498583333,1.333,26.07
12/20/2012,2012,Dec,2012-2013,1,,2,4.893,4.353,4.159958333,0,12.07
12/21/2012,2012,Dec,2012-2013,1,,2,3.824,3.64,4.011,0,14.21
12/22/2012,2012,Dec,2012-2013,1,,2,4.81,4.66,4.781833333,0.392,13.45
12/23/2012,2012,Dec,2012-2013,1,,2,4.056,4.317,4.2235,0.314,9.25
12/24/2012,2012,Dec,2012-2013,1,,2,4.748,3.06,3.033833333,0,9.09
12/25/2012,2012,Dec,2012-2013,1,,2,4.618,4.6105,4.584833333,0.372,11.54
12/26/2012,2012,Dec,2012-2013,1,,2,4.371,3.465,3.429291667,0,8.94
12/27/2012,2012,Dec,2012-2013,1,,2,8.59,6.1545,6.040083333,0.47,16.42
12/28/2012,2012,Dec,2012-2013,1,,2,4.14,7.2305,6.93425,1.725,15.58
12/29/2012,2012,Dec,2012-2013,1,,2,2.622,2.418,2.348166667,0,5.331
12/30/2012,2012,Dec,2012-2013,1,,2,8.33,4.265,5.172541667,0,16.86
12/31/2012,2012,Dec,2012-2013,1,,2,2.202,2.6235,3.590166667,0,15.19
1/1/2013,2013,Jan,2012-2013,1,,2,2.421,2.4045,2.824833333,0,11.8
1/2/2013,2013,Jan,2012-2013,1,,2,7.25,7.381,6.775333333,0,17.66
1/3/2013,2013,Jan,2012-2013,1,,2,7.537,2.8,3.886666667,0,14.84
1/4/2013,2013,Jan,2012-2013,1,,2,6.795,6.0415,6.074666667,0.059,14.56
1/5/2013,2013,Jan,2012-2013,1,,2,9.56,9.49,9.461625,1.607,21.99
1/6/2013,2013,Jan,2012-2013,1,,2,9.85,7.067,7.114791667,1,17.03
1/7/2013,2013,Jan,2012-2013,1,,2,3.839,7.3705,7.685291667,0.412,18.21
1/8/2013,2013,Jan,2012-2013,1,,2,4.11,4.651,4.915208333,0.176,11.86
1/9/2013,2013,Jan,2012-2013,1,,2,3.019,3.262,3.235916667,0,10.19
1/10/2013,2013,Jan,2012-2013,1,,2,4.045,2.8865,2.724416667,0,7.428
1/11/2013,2013,Jan,2012-2013,1,,2,3.529,3.1145,3.098,0.568,6.703
1/12/2013,2013,Jan,2012-2013,1,,2,3.774,3.6565,3.089,0,6.213
1/13/2013,2013,Jan,2012-2013,1,,2,1.966,2.123,2.484333333,0,6.742
1/14/2013,2013,Jan,2012-2013,1,,2,1.736,1.6465,1.569291667,0,4.214
1/15/2013,2013,Jan,2012-2013,1,,2,7.727,5.455,4.602875,0.627,12.43
1/16/2013,2013,Jan,2012-2013,1,,2,7.114,6.6725,6.588916667,2.254,11.49
1/17/2013,2013,Jan,2012-2013,1,,2,7.25,7.671,7.835291667,0,15.44
1/18/2013,2013,Jan,2012-2013,1,,2,2.343,5.777,5.241166667,0,13.01
1/19/2013,2013,Jan,2012-2013,1,,2,1.661,1.4245,1.426166667,0,4.606
1/20/2013,2013,Jan,2012-2013,1,,2,3.039,2.1415,2.172958333,0,5.586
1/21/2013,2013,Jan,2012-2013,1,,2,3.807,2.368,2.286041667,0,6.37
1/22/2013,2013,Jan,2012-2013,1,,2,8.49,3.2455,4.319375,0,16.48
1/23/2013,2013,Jan,2012-2013,1,,2,6.144,5.101,5.366583333,0.706,16.01
1/24/2013,2013,Jan,2012-2013,1,,2,10.24,9.09,10.11995833,2.058,24.79
1/25/2013,2013,Jan,2012-2013,1,,2,7.779,10.28,9.933333333,2.803,19.36
1/26/2013,2013,Jan,2012-2013,1,,2,4.328,4.316,5.084541667,0.255,12.88
1/27/2013,2013,Jan,2012-2013,1,,2,2.176,3.402,3.43075,0,13.99
1/28/2013,2013,Jan,2012-2013,1,,2,2.296,3.6095,3.846666667,0,10.27
1/29/2013,2013,Jan,2012-2013,1,,2,5.706,6.5325,5.129916667,0,12.78
1/30/2013,2013,Jan,2012-2013,1,,2,10.34,5.048,5.864125,1.294,15.39
1/31/2013,2013,Jan,2012-2013,1,,2,4.809,6.4095,7.130708333,1.823,17.23
2/1/2013,2013,Feb,2012-2013,1,,2,2.191,4.063,3.806625,0,9.06
2/2/2013,2013,Feb,2012-2013,1,,2,7.193,5.4965,4.971791667,0,10.96
2/3/2013,2013,Feb,2012-2013,1,,2,6.573,7.802,7.770166667,2.215,16.23
2/4/2013,2013,Feb,2012-2013,1,,2,7.925,7.6785,7.472708333,1,17.39
2/5/2013,2013,Feb,2012-2013,1,,2,9.74,10.05,10.40833333,2.744,22.62
2/6/2013,2013,Feb,2012-2013,1,,2,3.007,8.215,7.242041667,0,20.62
2/7/2013,2013,Feb,2012-2013,1,,2,2.907,2.825,2.903125,0,7.448
2/8/2013,2013,Feb,2012-2013,1,,2,7.334,5.678,5.513958333,0.862,12.27
2/9/2013,2013,Feb,2012-2013,1,,2,1.124,1.4075,1.887125,0,11.05
2/10/2013,2013,Feb,2012-2013,1,,2,5.074,2.977,3.208125,0,11.82
2/11/2013,2013,Feb,2012-2013,1,,2,7.556,4.806,4.618125,0.98,12.19
2/12/2013,2013,Feb,2012-2013,1,,2,4.464,9.825,10.18379167,0.745,22.36
2/13/2013,2013,Feb,2012-2013,1,,2,2.796,3.609,3.713958333,0.098,11.05
2/14/2013,2013,Feb,2012-2013,1,,2,7.915,7.883,7.687416667,0.255,14.94
2/15/2013,2013,Feb,2012-2013,1,,2,6.887,7.3575,7.339833333,3.018,14.35
2/16/2013,2013,Feb,2012-2013,1,,2,3.275,7.5975,7.122333333,0.529,15.03
2/17/2013,2013,Feb,2012-2013,1,,2,7.427,3.7555,3.896291667,0,11.19
2/18/2013,2013,Feb,2012-2013,1,,2,2.825,5.781,5.262625,0.137,14.03
2/19/2013,2013,Feb,2012-2013,1,,2,3.211,2.7625,2.799583333,0,6.468
2/20/2013,2013,Feb,2012-2013,1,,2,11.71,7.537,7.211625,2.038,19.87
2/21/2013,2013,Feb,2012-2013,1,,2,13.64,7.849,8.738,0.353,21.05
2/22/2013,2013,Feb,2012-2013,1,,2,12.69,11.46,11.9525,1.666,23.81
2/23/2013,2013,Feb,2012-2013,1,,2,13.97,8.365,7.8085,0,20.38
2/24/2013,2013,Feb,2012-2013,1,,2,3.543,10.8,10.11458333,0.098,24.56
2/25/2013,2013,Feb,2012-2013,1,,2,6.207,6.127,6.677458333,0,18.54
2/26/2013,2013,Feb,2012-2013,1,,2,7.711,9.765,9.730875,2.274,23.54
2/27/2013,2013,Feb,2012-2013,1,,2,9.44,10.555,10.08854167,2.254,19.4
2/28/2013,2013,Feb,2012-2013,1,,2,5.599,9.345,9.20775,0.039,24.97
3/1/2013,2013,Mar,2012-2013,1,,2,4.038,4.059,4.581875,0,16.54
3/2/2013,2013,Mar,2012-2013,1,,2,2.939,3.925,3.650708333,0,10.31
3/3/2013,2013,Mar,2012-2013,1,,2,3.528,2.705,2.652833333,0,9.51
3/4/2013,2013,Mar,2012-2013,1,,2,4.388,3.0705,2.997541667,0,7.781
3/5/2013,2013,Mar,2012-2013,1,,2,3.742,3.831,3.91975,0,9.45
3/6/2013,2013,Mar,2012-2013,1,,2,1.614,2.9025,3.093375,0,9.09
3/7/2013,2013,Mar,2012-2013,1,,2,0.691,2.6795,3.184791667,0,8.6
3/8/2013,2013,Mar,2012-2013,1,,2,0.806,1.482,1.4585,0,4.586
3/9/2013,2013,Mar,2012-2013,1,,2,5.772,5.756,5.357125,0,12.92
3/10/2013,2013,Mar,2012-2013,1,,2,2.327,2.3085,2.555791667,0,8.35
3/11/2013,2013,Mar,2012-2013,1,,2,3.353,2.822,2.504791667,0,8.49
3/12/2013,2013,Mar,2012-2013,1,,2,8.39,7.339,6.871208333,0,16.88
3/13/2013,2013,Mar,2012-2013,1,,2,4.46,8.61,8.330583333,1.196,16.07
3/14/2013,2013,Mar,2012-2013,1,,2,6.35,8.85,8.65425,0,23.01
3/15/2013,2013,Mar,2012-2013,1,,2,2.42,6.8685,6.303833333,0,14.62
3/16/2013,2013,Mar,2012-2013,1,,2,4.163,2.0845,2.585375,0,11.62
3/17/2013,2013,Mar,2012-2013,1,,2,4.183,3.6465,3.886625,0,13.86
3/18/2013,2013,Mar,2012-2013,1,,2,3.522,3.515,3.315,0,11.07
3/19/2013,2013,Mar,2012-2013,1,,2,3.271,3.1405,3.1885,0,8.78
3/20/2013,2013,Mar,2012-2013,1,,2,3.052,5.854,6.520166667,0.02,18.4
3/21/2013,2013,Mar,2012-2013,1,,2,3.83,4.434,4.349041667,0,10.45
3/22/2013,2013,Mar,2012-2013,1,,2,2.459,2.246,1.801375,0,8.04
3/23/2013,2013,Mar,2012-2013,1,,2,3.966,4.737,4.515333333,0,11.78
3/24/2013,2013,Mar,2012-2013,1,,2,5.091,5.1605,5.015791667,0.314,13.78
3/25/2013,2013,Mar,2012-2013,1,,2,2.4,5.755,4.321875,0,12.66
3/26/2013,2013,Mar,2012-2013,1,,2,1.487,1.486,1.527166667,0,4.057
3/27/2013,2013,Mar,2012-2013,1,,2,1.494,2.1855,2.2105,0,6.958
3/28/2013,2013,Mar,2012-2013,1,,2,2.323,1.6805,1.542375,0,5.331
3/29/2013,2013,Mar,2012-2013,1,,2,2.238,1.8475,1.929583333,0,6.154
3/30/2013,2013,Mar,2012-2013,1,,2,2.368,2.3985,2.524375,0,7.468
3/31/2013,2013,Mar,2012-2013,1,,2,2.447,1.9705,1.89275,0,4.645
4/1/2013,2013,Apr,2012-2013,1,,2,3.245,3.483,3.716958333,0,12.98
4/2/2013,2013,Apr,2012-2013,1,,2,1.965,1.544,1.595166667,0,5.135
4/3/2013,2013,Apr,2012-2013,1,,2,3.217,1.9895,2.155,0,6.194
4/4/2013,2013,Apr,2012-2013,1,,2,2.473,2.994,2.621541667,0,6.703
4/5/2013,2013,Apr,2012-2013,1,,2,3.411,5.3035,4.819708333,0,12.92
4/6/2013,2013,Apr,2012-2013,1,,2,2.908,4.2195,4.209208333,0.412,10.43
4/7/2013,2013,Apr,2012-2013,1,,2,3.034,2.9405,3.711708333,0,11.54
4/8/2013,2013,Apr,2012-2013,1,,2,5.766,3.842,3.507375,0,11.11
4/9/2013,2013,Apr,2012-2013,1,,2,1.484,13.79,11.51770833,0,28.93
4/10/2013,2013,Apr,2012-2013,1,,2,2.04,2.721,2.936583333,0,11.68
4/11/2013,2013,Apr,2012-2013,1,,2,3.539,2.4525,2.534916667,0,8.39
4/12/2013,2013,Apr,2012-2013,1,,2,3.649,6.513,7.432625,0.804,20.7
4/13/2013,2013,Apr,2012-2013,1,,2,4.13,3.7205,3.741416667,0,9.31
4/14/2013,2013,Apr,2012-2013,1,,2,2.74,2.749,2.846125,0,7.84
4/15/2013,2013,Apr,2012-2013,1,,2,2.907,3.032,3.968166667,0,13.27
4/16/2013,2013,Apr,2012-2013,1,,2,2.368,2.561,2.587416667,0,6.684
4/17/2013,2013,Apr,2012-2013,1,,2,7.502,7.432,6.708083333,0.725,14.6
4/18/2013,2013,Apr,2012-2013,1,,2,5.881,9.645,9.384333333,2.372,19.84
4/19/2013,2013,Apr,2012-2013,1,,2,2.572,3.164,3.6325,0,9.74
4/20/2013,2013,Apr,2012-2013,1,,2,3.62,2.809,2.920375,0,6.938
4/21/2013,2013,Apr,2012-2013,1,,2,2.029,3.139,3.526416667,0,12.07
4/22/2013,2013,Apr,2012-2013,1,,2,2.557,2.4285,2.4085,0,7.311
4/23/2013,2013,Apr,2012-2013,1,,2,2.229,2.175,2.745916667,0,10.56
4/24/2013,2013,Apr,2012-2013,1,,2,0.92,1.912,1.910708333,0,6.507
4/25/2013,2013,Apr,2012-2013,1,,2,5.779,5.361,4.880916667,0.647,11.03
4/26/2013,2013,Apr,2012-2013,1,,2,10.93,9.24,9.273166667,2.764,17.27
4/27/2013,2013,Apr,2012-2013,1,,2,4.032,3.8815,5.913791667,0,21.13
4/28/2013,2013,Apr,2012-2013,1,,2,6.859,7.2095,7.944083333,0.588,20.72
4/29/2013,2013,Apr,2012-2013,1,,2,4.652,4.666,5.033916667,0,12.86
4/30/2013,2013,Apr,2012-2013,1,,2,2.424,2.6095,2.827333333,0,10.76
5/1/2013,2013,May,2012-2013,1,,2,4.263,5.1655,4.8975,0.568,11.66
5/2/2013,2013,May,2012-2013,1,,2,2.173,5.307,4.574833333,0,14.94
5/3/2013,2013,May,2012-2013,1,,2,2.808,2.6165,2.783375,0,8.09
5/4/2013,2013,May,2012-2013,1,,2,2.892,1.97,2.033541667,0,6.625
5/5/2013,2013,May,2012-2013,1,,2,1.651,1.641,1.650708333,0,4.449
5/6/2013,2013,May,2012-2013,1,,2,1.92,2.2555,2.497333333,0,7.37
5/7/2013,2013,May,2012-2013,1,,2,2.64,2.2015,2.161666667,0,5.508
5/8/2013,2013,May,2012-2013,1,,2,0.931,2.4325,2.749541667,0,7.468
5/9/2013,2013,May,2012-2013,1,,2,0.677,1.0415,1.266291667,0,4.841
5/10/2013,2013,May,2012-2013,1,,2,2.807,1.359,1.38525,0,6.076
5/11/2013,2013,May,2012-2013,1,,2,8.88,4.037,4.576958333,0,16.15
5/12/2013,2013,May,2012-2013,1,,2,5.343,9.005,9.0525,2.274,20.21
5/13/2013,2013,May,2012-2013,1,,2,5.542,6.673,6.487208333,1.392,13.72
5/14/2013,2013,May,2012-2013,1,,2,11.43,7.682,7.625583333,2.097,20.15
5/15/2013,2013,May,2012-2013,1,,2,2.574,3.5715,4.34075,0,18.19
5/16/2013,2013,May,2012-2013,1,,2,1.06,1.7275,1.707958333,0,4.684
5/17/2013,2013,May,2012-2013,1,,2,4.172,3.62,3.364,0,11.37
5/18/2013,2013,May,2012-2013,1,,2,2.106,3.3815,3.738416667,0,11.58
5/19/2013,2013,May,2012-2013,1,,2,3.226,4.671,4.188166667,0,10.23
5/20/2013,2013,May,2012-2013,1,,2,5.118,3.6735,3.737125,0,9.76
5/21/2013,2013,May,2012-2013,1,,2,0.676,2.046,2.095583333,0,6.86
5/22/2013,2013,May,2012-2013,1,,2,1.811,2.136,2.588041667,0,8.31
5/23/2013,2013,May,2012-2013,1,,2,3.323,3.9525,4.413208333,0,14.17
5/24/2013,2013,May,2012-2013,1,,2,1.427,3.857,3.631458333,0.882,7.33
5/25/2013,2013,May,2012-2013,1,,2,1.827,1.804,1.691875,0,5.037
5/26/2013,2013,May,2012-2013,1,,2,2.611,1.608,1.6595,0,4.292
5/27/2013,2013,May,2012-2013,1,,2,2.455,2.4645,2.470958333,0,8.66
5/28/2013,2013,May,2012-2013,1,,2,4.584,2.1105,3.938541667,0,17.8
5/29/2013,2013,May,2012-2013,1,,2,2.499,1.643,1.710416667,0,4.332
5/30/2013,2013,May,2012-2013,1,,2,2.149,2.293,2.477458333,0,7.076
5/31/2013,2013,May,2012-2013,1,,2,0.846,3.982,3.411875,0,8.96
6/1/2013,2013,Jun,2012-2013,1,,2,3.386,3.085,2.94175,0,7.781
6/2/2013,2013,Jun,2012-2013,1,,2,4.093,4.19,4.316333333,0,9.68
6/3/2013,2013,Jun,2012-2013,1,,2,1.243,2.0325,2.261791667,0,6.194
6/4/2013,2013,Jun,2012-2013,1,,2,4.092,3.401,3.579125,0,10.33
6/5/2013,2013,Jun,2012-2013,1,,2,1.889,3.703,3.413958333,0,7.84
6/6/2013,2013,Jun,2012-2013,1,,2,6.655,5.047,4.721291667,0.49,13.45
6/7/2013,2013,Jun,2012-2013,1,,2,4.932,5.8025,5.58725,0.157,11.47
6/8/2013,2013,Jun,2012-2013,1,,2,3.024,5.1535,5.040375,0.627,10.37
6/9/2013,2013,Jun,2012-2013,1,,2,1.633,2.3655,2.391916667,0,5.508
6/10/2013,2013,Jun,2012-2013,1,,2,0.964,1.4075,1.367791667,0,4.9
6/11/2013,2013,Jun,2012-2013,1,,2,1.497,2.7985,2.993833333,0,8.88
6/12/2013,2013,Jun,2012-2013,1,,2,1.463,2.458,2.397625,0,6.115
6/13/2013,2013,Jun,2012-2013,1,,2,3.971,2.327,2.224708333,0,6.037
6/14/2013,2013,Jun,2012-2013,1,,2,2.056,2.489,2.868416667,0,10.58
6/15/2013,2013,Jun,2012-2013,1,,2,1.79,1.6865,1.776666667,0,3.842
6/16/2013,2013,Jun,2012-2013,1,,2,1.071,2.42,3.136041667,0,8.92
6/17/2013,2013,Jun,2012-2013,1,,2,1.521,1.984,1.827583333,0,5.253
6/18/2013,2013,Jun,2012-2013,1,,2,1.308,2.308,3.103916667,0,13.11
6/19/2013,2013,Jun,2012-2013,1,,2,3.248,2.496,2.227458333,0,7.232
6/20/2013,2013,Jun,2012-2013,1,MV:2 of 24 missing,3,1.781,2.3945,2.240318182,0,6.37
6/21/2013,2013,Jun,2012-2013,1,,2,0.73,2.678,2.459041667,0,5.9
6/22/2013,2013,Jun,2012-2013,1,,2,2.223,2.161,1.962541667,0,5.214
6/23/2013,2013,Jun,2012-2013,1,,2,1.923,1.3565,1.434583333,0,4.704
6/24/2013,2013,Jun,2012-2013,1,,2,2.034,1.9245,2.274833333,0,9.13
6/25/2013,2013,Jun,2012-2013,1,,2,3.741,3.0655,3.997458333,0,19.72
6/26/2013,2013,Jun,2012-2013,1,,2,2.867,2.9855,3.416708333,0,13.07
6/27/2013,2013,Jun,2012-2013,1,,2,1.034,3.1835,3.048333333,0,9.33
6/28/2013,2013,Jun,2012-2013,1,,2,2.06,1.7015,1.734541667,0,5.762
6/29/2013,2013,Jun,2012-2013,1,,2,1.268,1.8105,2.265916667,0,6.801
6/30/2013,2013,Jun,2012-2013,1,,2,1.816,1.8645,1.886416667,0,5.155
7/1/2013,2013,Jul,2012-2013,1,,2,2.139,1.976,2.0155,0,5.527
7/2/2013,2013,Jul,2012-2013,1,,2,2.146,2.115,2.072166667,0,5.645
7/3/2013,2013,Jul,2012-2013,1,,2,2.868,2.7475,2.463125,0,7.056
7/4/2013,2013,Jul,2012-2013,1,,2,3.553,3.721,3.047541667,0,8.68
7/5/2013,2013,Jul,2012-2013,1,,2,1.973,4.633,4.724833333,0.176,12.6
7/6/2013,2013,Jul,2012-2013,1,,2,1.817,2.314,2.241541667,0,6.664
7/7/2013,2013,Jul,2012-2013,1,,2,0.487,1.8335,1.880916667,0,7.213
7/8/2013,2013,Jul,2012-2013,1,,2,0.492,1.531,1.492791667,0,4.743
7/9/2013,2013,Jul,2012-2013,1,,2,1.117,1.724,2.036541667,0,7.134
7/10/2013,2013,Jul,2012-2013,1,MV:1 of 24 missing,3,3.872,1.355,2.429043478,0,11.07
7/11/2013,2013,Jul,2012-2013,1,,2,1.65,2.233,2.309791667,0,9.19
7/12/2013,2013,Jul,2012-2013,1,,2,1.349,2.306,2.553583333,0,6.096
7/13/2013,2013,Jul,2012-2013,1,,2,2.717,2.917,2.663791667,0,5.88
7/14/2013,2013,Jul,2012-2013,1,,2,1.342,2.26,2.779,0,9.04
7/15/2013,2013,Jul,2012-2013,1,,2,1.648,1.9835,1.866583333,0,5.214
7/16/2013,2013,Jul,2012-2013,1,,2,0.837,1.5135,1.481291667,0,3.842
7/17/2013,2013,Jul,2012-2013,1,,2,3.7,4.489,4.254,0,12.5
7/18/2013,2013,Jul,2012-2013,1,,2,0.965,1.904,1.999583333,0,5.958
7/19/2013,2013,Jul,2012-2013,1,,2,2.333,1.256,1.385333333,0,4.88
7/20/2013,2013,Jul,2012-2013,1,,2,1.119,1.8255,1.763916667,0,5.841
7/21/2013,2013,Jul,2012-2013,1,,2,2.834,2.151,2.452458333,0,7.095
7/22/2013,2013,Jul,2012-2013,1,,2,1.163,1.8185,1.850541667,0,4.9
7/23/2013,2013,Jul,2012-2013,1,,2,0.993,1.7735,1.921166667,0,5.429
7/24/2013,2013,Jul,2012-2013,1,,2,2.218,1.8755,1.873166667,0,5.037
7/25/2013,2013,Jul,2012-2013,1,,2,1.915,2.408,2.880125,0.118,6.684
7/26/2013,2013,Jul,2012-2013,1,,2,2.716,2.5675,2.281666667,0,7.252
7/27/2013,2013,Jul,2012-2013,1,,2,2.708,3.0185,3.345208333,0,9
7/28/2013,2013,Jul,2012-2013,1,,2,1.135,1.329,1.470208333,0,4.469
7/29/2013,2013,Jul,2012-2013,1,,2,1.597,1.482,1.438583333,0,4.038
7/30/2013,2013,Jul,2012-2013,1,,2,2.098,2.527,3.359208333,0.235,8.6
7/31/2013,2013,Jul,2012-2013,1,,2,1.193,1.6665,1.615041667,0,3.959
8/1/2013,2013,Aug,2012-2013,1,,2,1.675,3.2605,3.058583333,0,7.428
8/2/2013,2013,Aug,2012-2013,1,,2,2.516,2.439,2.285541667,0,5.233
8/3/2013,2013,Aug,2012-2013,1,,2,2.029,1.718,2.007625,0,6.566
8/4/2013,2013,Aug,2012-2013,1,,2,1.766,1.7325,1.875166667,0,5.88
8/5/2013,2013,Aug,2012-2013,1,,2,1.092,1.3425,1.388375,0,4.567
8/6/2013,2013,Aug,2012-2013,1,,2,1.432,1.446,1.372875,0,4.567
